Status_checking,Duration,Credit_history,Purpose,Credit_amount,Savings,Employment,Installment_rate,Personal_status,Other_debtors,Residence_since,Property,Age,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker
No checking account,30,Critical account / other credits existing,Radio / television,4530,< 100 DM,4 <= employment < 7 years,4,Female: divorced/separated/married,,4,Car or other (not savings),26,,Rent,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,30,Delay in paying off in the past,Business,2503,100 <= savings < 500 DM,>= 7 years,4,Male: single,,2,Building society savings / life insurance,41,Stores,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Radio / television,1567,< 100 DM,1 <= employment < 4 years,1,Female: divorced/separated/married,,1,Car or other (not savings),22,,Own,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,21,Existing credits paid back duly till now,Furniture / equipment,3976,Unknown / no savings,4 <= employment < 7 years,2,Male: single,,3,Car or other (not savings),35,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,9,Existing credits paid back duly till now,Furniture / equipment,2301,100 <= savings < 500 DM,< 1 year,2,Female: divorced/separated/married,,4,Building society savings / life insurance,22,,Rent,1,Skilled,1,,Yes
< 0 DM,12,Existing credits paid back duly till now,Car (new),1372,< 100 DM,4 <= employment < 7 years,2,Male: divorced/separated,,3,Car or other (not savings),36,,Own,1,Skilled,1,,Yes
No checking account,24,All credits at this bank paid back duly,Business,1559,< 100 DM,4 <= employment < 7 years,4,Male: single,,4,Car or other (not savings),50,Bank,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,6,Existing credits paid back duly till now,Furniture / equipment,428,< 100 DM,>= 7 years,2,Female: divorced/separated/married,,1,Building society savings / life insurance,49,Bank,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,21,Delay in paying off in the past,Car (used),2993,< 100 DM,1 <= employment < 4 years,3,Male: single,,2,Real estate,28,Stores,Own,2,Unskilled non-resident,1,,Yes
< 0 DM,20,Existing credits paid back duly till now,Furniture / equipment,2212,Unknown / no savings,4 <= employment < 7 years,4,Male: single,,4,Car or other (not savings),39,,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Car (new),1228,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Real estate,24,,Own,1,Unskilled non-resident,1,,Yes
